regional_id,name
83,NIPAH PANJANG
83,SADU
84,PELEPAT
84,PELEPAT ILIR
84,BATHIN II BABEKO
84,RIMBO TENGAH
84,BUNGO DANI
84,PASAR MUARA BUNGO
84,BATHIN III
84,RANTAU PANDAN
84,MUKO-MUKO BATHIN VII
84,BATHIN III ULU
84,TANAH SEPENGGAL
84,TANAH SEPENGGAL LINTAS
84,TANAH TUMBUH
84,LIMBUR LUBUK MENGKUANG
84,BATHIN II PELAYANG
84,JUJUHAN
84,JUJUHAN ILIR
85,TEBO ILIR
85,MUARA TABIR
85,TEBO TENGAH
85,SUMAY
85,TENGAH ILIR
85,RIMBO BUJANG
85,RIMBO ULU
85,RIMBO ILIR
85,TEBO ULU
85,VII KOTO
85,SERAI SERUMPUN
85,VII KOTO ILIR
86,KOTA BARU
86,JAMBI SELATAN
86,JELUTUNG
86,PASAR JAMBI
86,TELANAIPURA
86,DANAU TELUK
86,PELAYANGAN
86,JAMBI TIMUR
87,OGAN KOMERING ULU
87,LENGKITI
87,SOSOH BUAY RAYAP
87,PENGANDONAN
87,SEMIDANG AJI
87,ULU OGAN
87,MUARA JAYA
87,PENINJAUAN
87,LUBUK BATANG
87,SINAR PENINJAUAN
87,BATU RAJA TIMUR
87,LUBUK RAJA
87,BATU RAJA BARAT
88,LEMPUING
88,LEMPUING JAYA
88,MESUJI
88,SUNGAI MENANG
88,MESUJI MAKMUR
88,MESUJI RAYA
88,TULUNG SELAPAN
88,CENGAL
88,PEDAMARAN
88,PEDAMARAN TIMUR
88,TANJUNG LUBUK
88,TELUK GELAM
88,KOTA KAYU AGUNG
88,SIRAH PULAU PADANG
88,JEJAWI
88,PAMPANGAN
88,PANGKALAN LAPAM
88,AIR SUGIHAN
89,SEMENDO DARAT LAUT
89,SEMENDO DARAT ULU
89,SEMENDO DARAT TENGAH
89,TANJUNG AGUNG
89,RAMBANG
89,LUBAI
89,LAWANG KIDUL
89,MUARA ENIM
89,UJAN MAS
89,GUNUNG MEGANG
89,BENAKAT
89,RAMBANG DANGKU
89,TALANG UBI
89,PENUKAL
89,TANAH ABANG
89,PENUKAL UTARA
89,ABAB
89,GELUMBANG
89,LEMBAK
89,SUNGAI ROTAN
89,MUARA BELIDA
89,KELEKAR
90,TANJUNG SAKTI PUMI
90,TANJUNG SAKTI PUMU
90,KOTA AGUNG
90,MULAK ULU
90,TANJUNG TEBAT
90,PULAU PINANG
90,PAGAR GUNUNG
90,GUMAY ULU
90,JARAI
90,PAJAR BULAN
90,MUARA PAYANG
90,KIKIM BARAT
90,KIKIM TIMUR
90,KIKIM SELATAN
90,KIKIM TENGAH
90,LAHAT
90,GUMAY TALANG
90,PSEKSU
90,MERAPI BARAT
90,MERAPI TIMUR
90,MERAPI SELATAN
91,RAWAS ULU
91,ULU RAWAS
91,RUPIT
91,KARANG JAYA
91,SUKU TENGAH LAKITAN ULU
91,SELANGIT
91,SUMBER HARTA
91,TUGUMULYO
91,PURWODADI
91,MUARA BELITI
91,TIANG PUMPUNG KEPUNGUT
91,JAYALOKA
91,SUKA KARYA
91,MUARA KELINGI
91,BULANG TENGAH SUKU ULU
91,TUAH NEGERI
91,MUARA LAKITAN
91,MEGANG SAKTI
91,RAWAS ILIR
91,KARANG DAPO
91,NIBUNG
92,SANGA DESA
92,BABAT TOMAN
92,BATANGHARI LEKO
92,PLAKAT TINGGI
92,SUNGAI KERUH
92,SEKAYU
92,LAIS
92,SUNGAI LILIN
92,KELUANG
92,BAYUNG LENCIR
92,LALAN
92,RANTAU BAYUR
92,BETUNG
92,PULAU RIMAU
92,TUNGKAL ILIR
92,BANYUASIN III
92,TALANG KELAPA
92,TANJUNG LAGO
92,BANYUASIN I
92,RAMBUTAN
